react-dom_client.js?v=bca24845:14337 Download the React DevTools for a better development experience: https://react.dev/link/react-devtools
MessageBubble.tsx:27 [CHAT] Imagem carregada para msg: user_1779683871875_l942ahg7k
App.tsx:13 [HADES RENDERER] Window mounted: chat
App.tsx:17 [HADES RENDERER] Location: http://localhost:3000/?window=chat
App.tsx:18 [HADES RENDERER] Document visibilityState: visible
App.tsx:13 [HADES RENDERER] Window mounted: chat
App.tsx:17 [HADES RENDERER] Location: http://localhost:3000/?window=chat
App.tsx:18 [HADES RENDERER] Document visibilityState: visible
useWindowControl.ts:56 [RESIZE_START] Started resizing at 37258.60ms. Initial size: 480x490
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 1 | Latency: 0.00ms | New Size: 481x491 | EventX/Y: 1446/600
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 2 | Latency: 17.60ms | New Size: 484x492 | EventX/Y: 1449/601
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 3 | Latency: 18.70ms | New Size: 489x496 | EventX/Y: 1454/605
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 4 | Latency: 16.60ms | New Size: 495x500 | EventX/Y: 1460/609
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 5 | Latency: 16.30ms | New Size: 500x504 | EventX/Y: 1465/613
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 6 | Latency: 17.70ms | New Size: 504x510 | EventX/Y: 1469/619
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 7 | Latency: 16.50ms | New Size: 507x515 | EventX/Y: 1472/624
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 8 | Latency: 20.70ms | New Size: 507x519 | EventX/Y: 1472/628
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 9 | Latency: 19.30ms | New Size: 507x522 | EventX/Y: 1472/631
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 10 | Latency: 16.80ms | New Size: 506x522 | EventX/Y: 1471/631
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 11 | Latency: 25.70ms | New Size: 503x523 | EventX/Y: 1468/632
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 12 | Latency: 16.60ms | New Size: 501x523 | EventX/Y: 1466/632
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 13 | Latency: 25.50ms | New Size: 498x523 | EventX/Y: 1463/632
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 14 | Latency: 20.10ms | New Size: 496x523 | EventX/Y: 1461/632
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 15 | Latency: 29.50ms | New Size: 494x523 | EventX/Y: 1459/632
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 16 | Latency: 18.90ms | New Size: 492x523 | EventX/Y: 1457/632
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 17 | Latency: 18.80ms | New Size: 490x523 | EventX/Y: 1455/632
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 18 | Latency: 19.40ms | New Size: 487x523 | EventX/Y: 1452/632
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 19 | Latency: 16.20ms | New Size: 484x522 | EventX/Y: 1449/631
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 20 | Latency: 83.20ms | New Size: 483x521 | EventX/Y: 1448/630
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 21 | Latency: 20.30ms | New Size: 480x519 | EventX/Y: 1445/628
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 22 | Latency: 17.70ms | New Size: 478x515 | EventX/Y: 1443/624
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 23 | Latency: 17.20ms | New Size: 476x511 | EventX/Y: 1441/620
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 24 | Latency: 17.70ms | New Size: 474x505 | EventX/Y: 1439/614
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 25 | Latency: 18.30ms | New Size: 474x499 | EventX/Y: 1439/608
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 26 | Latency: 19.30ms | New Size: 474x493 | EventX/Y: 1439/602
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 27 | Latency: 17.50ms | New Size: 474x488 | EventX/Y: 1439/597
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 28 | Latency: 19.70ms | New Size: 474x484 | EventX/Y: 1439/593
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 29 | Latency: 21.80ms | New Size: 476x480 | EventX/Y: 1441/589
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 30 | Latency: 20.10ms | New Size: 479x477 | EventX/Y: 1444/586
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 31 | Latency: 21.50ms | New Size: 482x475 | EventX/Y: 1447/584
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 32 | Latency: 18.40ms | New Size: 486x474 | EventX/Y: 1451/583
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 33 | Latency: 24.40ms | New Size: 490x474 | EventX/Y: 1455/583
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 34 | Latency: 19.80ms | New Size: 495x474 | EventX/Y: 1460/583
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 35 | Latency: 17.20ms | New Size: 501x474 | EventX/Y: 1466/583
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 36 | Latency: 17.70ms | New Size: 508x474 | EventX/Y: 1473/583
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 37 | Latency: 16.60ms | New Size: 516x474 | EventX/Y: 1481/583
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 38 | Latency: 18.30ms | New Size: 524x474 | EventX/Y: 1489/583
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 39 | Latency: 20.00ms | New Size: 533x474 | EventX/Y: 1498/583
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 40 | Latency: 19.60ms | New Size: 540x477 | EventX/Y: 1505/586
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 41 | Latency: 18.70ms | New Size: 544x480 | EventX/Y: 1509/589
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 42 | Latency: 19.70ms | New Size: 547x484 | EventX/Y: 1512/593
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 43 | Latency: 16.30ms | New Size: 549x487 | EventX/Y: 1514/596
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 44 | Latency: 19.90ms | New Size: 553x493 | EventX/Y: 1518/602
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 45 | Latency: 17.60ms | New Size: 557x501 | EventX/Y: 1522/610
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 46 | Latency: 16.50ms | New Size: 560x507 | EventX/Y: 1525/616
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 47 | Latency: 17.70ms | New Size: 564x517 | EventX/Y: 1529/626
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 48 | Latency: 17.10ms | New Size: 568x528 | EventX/Y: 1533/637
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 49 | Latency: 16.60ms | New Size: 571x541 | EventX/Y: 1536/650
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 50 | Latency: 16.00ms | New Size: 572x554 | EventX/Y: 1537/663
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 51 | Latency: 18.10ms | New Size: 573x565 | EventX/Y: 1538/674
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 52 | Latency: 17.30ms | New Size: 573x575 | EventX/Y: 1538/684
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 53 | Latency: 16.90ms | New Size: 573x582 | EventX/Y: 1538/691
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 54 | Latency: 17.90ms | New Size: 570x589 | EventX/Y: 1535/698
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 55 | Latency: 16.90ms | New Size: 567x595 | EventX/Y: 1532/704
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 56 | Latency: 17.40ms | New Size: 562x603 | EventX/Y: 1527/712
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 57 | Latency: 17.20ms | New Size: 557x608 | EventX/Y: 1522/717
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 58 | Latency: 17.80ms | New Size: 553x612 | EventX/Y: 1518/721
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 59 | Latency: 19.10ms | New Size: 548x613 | EventX/Y: 1513/722
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 60 | Latency: 20.80ms | New Size: 542x613 | EventX/Y: 1507/722
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 61 | Latency: 19.00ms | New Size: 536x613 | EventX/Y: 1501/722
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 62 | Latency: 17.40ms | New Size: 530x612 | EventX/Y: 1495/721
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 63 | Latency: 18.20ms | New Size: 525x609 | EventX/Y: 1490/718
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 64 | Latency: 18.90ms | New Size: 521x605 | EventX/Y: 1486/714
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 65 | Latency: 22.80ms | New Size: 518x601 | EventX/Y: 1483/710
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 66 | Latency: 16.50ms | New Size: 517x596 | EventX/Y: 1482/705
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 67 | Latency: 16.30ms | New Size: 517x590 | EventX/Y: 1482/699
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 68 | Latency: 18.20ms | New Size: 516x582 | EventX/Y: 1481/691
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 69 | Latency: 16.70ms | New Size: 516x573 | EventX/Y: 1481/682
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 70 | Latency: 17.20ms | New Size: 518x562 | EventX/Y: 1483/671
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 71 | Latency: 17.10ms | New Size: 521x548 | EventX/Y: 1486/657
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 72 | Latency: 16.10ms | New Size: 525x536 | EventX/Y: 1490/645
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 73 | Latency: 18.80ms | New Size: 534x519 | EventX/Y: 1499/628
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 74 | Latency: 16.20ms | New Size: 543x507 | EventX/Y: 1508/616
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 75 | Latency: 16.80ms | New Size: 555x491 | EventX/Y: 1520/600
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 76 | Latency: 16.30ms | New Size: 569x479 | EventX/Y: 1534/588
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 77 | Latency: 18.40ms | New Size: 585x468 | EventX/Y: 1550/577
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 78 | Latency: 17.40ms | New Size: 606x463 | EventX/Y: 1571/572
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 79 | Latency: 16.30ms | New Size: 626x461 | EventX/Y: 1591/570
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 80 | Latency: 17.70ms | New Size: 647x461 | EventX/Y: 1612/570
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 81 | Latency: 18.50ms | New Size: 666x463 | EventX/Y: 1631/572
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 82 | Latency: 17.50ms | New Size: 689x472 | EventX/Y: 1654/581
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 83 | Latency: 17.80ms | New Size: 705x483 | EventX/Y: 1670/592
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 84 | Latency: 16.00ms | New Size: 725x502 | EventX/Y: 1690/611
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 85 | Latency: 16.10ms | New Size: 736x517 | EventX/Y: 1701/626
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 86 | Latency: 16.40ms | New Size: 744x531 | EventX/Y: 1709/640
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 87 | Latency: 16.40ms | New Size: 748x546 | EventX/Y: 1713/655
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 88 | Latency: 17.20ms | New Size: 749x561 | EventX/Y: 1714/670
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 89 | Latency: 16.20ms | New Size: 749x575 | EventX/Y: 1714/684
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 90 | Latency: 16.10ms | New Size: 747x588 | EventX/Y: 1712/697
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 91 | Latency: 16.10ms | New Size: 743x600 | EventX/Y: 1708/709
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 92 | Latency: 18.30ms | New Size: 736x612 | EventX/Y: 1701/721
useWindowControl.ts:76 [RESIZE_FRAME] Frame: 93 | Latency: 18.20ms | New Size: 728x623 | EventX/Y: 1693/732
